Title,Abstract,StoreId,pubdate,pubtitle,year,startPage
Man in his 20s arrested following death of cyclist,"A man named locally as Peter Farrell (61), Clonmullen, Edenderry, Co Offaly, died when he was struck by a vehicle while cycling at Carrick on the Kinnegad to Edenderry road shortly before 9pm on Tuesday.",889950627,"Sep 15, 2011",Irish Times,2011, 10
Dublin ranked in top 10 cycling cities worldwide,"They said the city was undergoing a ""grand rebound"" in cycling thanks to ""a wildly successful bike share programme, visionary politicians who implemented bike lanes and 30km/h zones, and a citizenry who have merely shrugged and gotten on with it"". He said cycling had been ""relentlessly"" in decline but measures, including the heavy goods vehicle ban, lower speed limits and Dublin Bikes, were helping to reverse the trend.",892266926,"Sep 20, 2011",Irish Times,2011, 3
Lungs of cyclists may be sootier,"Black carbon particles (soot) are known to cause lung and heart damage. The small preliminary study involving five commuting cyclists and five pedestrians was carried out by researchers from St Bartholomew's Hospital and the London School of Medicine. They took samples of cells from the participants' lower airways. These cells, called macrophages, sit on the surface of the airway ingesting foreign material such as black carbon, a byproduct of exhaust.",893956295,"Sep 26, 2011",Irish Times,2011, 5
A bicycle made for one,"[Dmitri Medvedev]'s vaunted but half-hearted tilt at promoting liberalisation and ""modernisation"" notwithstanding, the country remains what can best be described as ""soft authoritarian"". After reeling from a decade of chaos under Boris Yeltsin, it hovers in a stalled transition from communism to western democratic values, [Vladimir Putin]'s authoritarianism tolerated by a growing middle class - estimated at 40 per cent of Moscow's population - that is preoccupied more with its affluence and financial prospects than democratic control.",894130533,"Sep 27, 2011",Irish Times,2011, 17
Foiling the bicycle thieves,"Sir, - My son saved up for a year to buy a bicycle that was stolen from where it was secured (with a U-lock that was cut through) outside our house. The Garda advice was to go to a market on North Cumberland Street in Dublin 1 to try and locate it. At this market were tens of young males who were selling very expensive adult bicycles for far under market prices. Shouldn't the Garda monitor this market and examine some of these goods?",894133767,"Sep 27, 2011",Irish Times,2011, 17
"1,200 discarded bicycles shipped to Africa","SOME 1,200 unwanted bicycles collected since the introduction of the ""bike to work"" tax incentive scheme are being shipped to Africa under an initiative to create employment and sustainable transport for disadvantaged villages. ""An unfortunate consequence of the Government scheme was that the secondhand bike market collapsed and bikes are being abandoned on railings, in hedgerows and gardens around the country or just sitting unused in sheds.""",900319135,"Oct 25, 2011",Irish Times,2011, 5
Replicating Danish cycling rates would cut EU emissions by 25%,"If the general EU cycling rate were the same as it is in Denmark, where the average person cycles almost 1,000km each year, then the bloc would attain anything from 12 per cent to 26 per cent of its targeted emissions reduction, depending on what forms of transport the cycling replaced, according to the report by the European Cycling Federation.",910338892,"Dec 13, 2011",Irish Times,2011, 8
Cycling the Camino,"It is possible to cycle the Camino de Santiago and there are a number of self-guided and guided cycle trips. The cycle trips cover about 250-300kms in a week and cost between [euro]550-[euro]780pps, which includes cycle hire, accommodation, meals on some trips and luggage transfers. I can see why you are finding it expensive to go on a tour from Ireland to Jordan. Most of the tours seem to cost about [euro]2,500. However, there will be an 10-day tour next spring organised by Map Travel (01-8783111, maptravel.ie) to see [Jordan] and the price will be about [euro]1,600pps, which includes half-board in four-star hotels and an expert tour guide. Ramblers Worldwide Holidays (00-44-1707-331133, ramblersholidays.co.uk) has a number of departures from London and Manchester in September to Greece for walking holidays. An example is a week's walking trip that begins from Chania in Crete and covers moderate terrain. Accommodation is in a modest hotel in Kastelli and the price from pound(s)839 ([euro]954) includes flights from the UK, accommodation, half-board and guided walks.",878694953,"Jul 23, 2011",Irish Times,2011, 7
Rail line becomes cycling track,"The old railway line, which once stretched between Westport and Achill Island, has been reincarnated as the Great Western Greenway. The 42km (26-mile) purpose-built cycling and walking track was officially opened yesterday, with Taoiseach Enda Kenny and Michael Ring, Minister of State for Tourism and Sport, sharing the honours. Mr Kenny led invited guests along the Greenway from Westport House to Attireesh, Westport, where there was a plaque-unveiling ceremony.",879835956,"Jul 30, 2011",Irish Times,2011, 3
The new look for safe cycling,"""Fashion-conscious people like ourselves would not have fancied wearing a ugly hair-flattening polystyrene helmet, so we set about looking at alternatives in case people in Sweden were going to be forced to wear a bike helmet in future,"" says [Terese Alstin]. The feedback for the helmet of ""tomorrow"" focused on head protection that would be ""invisible"", or that looked ""like something else"". As to other uses - such as protecting the wearer in a fall from a bar stool for instance - Alstin admits ""possibly the bag would spring into action and open under those circumstances"" as would ""a fall from a bridge"".",880309838,"Aug 2, 2011",Irish Times,2011, 13
Cyclist killed in Monaghan hit and run,"[Gardai] appealed for witnesses to contact Carrickmacross Garda station on 042-969 0190, the Garda Confidential Telephone Line 1800 666 111 or any Garda station.",880965614,"Aug 4, 2011",Irish Times,2011, 2
Cycling in the capital,"Sir, - I recently took up cycling in Dublin only to find our cycle lanes begin and end in a haphazard manner. Some have a red surface-dressing (largely worn away), and some don't; some end with a ""Yield"" triangle, and some don't; and some taper off at the end, and some don't.",881251199,"Aug 5, 2011",Irish Times,2011, 17
UCC to make free bicycles available to staff,"UCC commuter plan manager Stephan Koch has integrated the scheme into the university's commuter plan which encourages the use of sustainable forms of transport such as walking, cycling and car-sharing. UCC capital projects officer Niall McAuliffe said: ""This innovative scheme is already proving successful in reducing the university's carbon footprint by displacing car journeys."" The scheme in Dublin allows registered users to rent bicycles from locations throughout the city. Launched in 2009, there are now 550 bicycles in the Dublin network.",884648200,"Aug 23, 2011",Irish Times,2011, 6
Cycling lobbies say [euro]4m lanes a waste of money,"The lobbies believe the ""[euro]4 million employment initiative"" should be scrapped. Cycling lobby cyclist.ie said many similar facilities along roads in urban areas ""have been a poor use of public money and are badly maintained - not even subjected to regular road-sweeping and left piled with snow during winter"". Dr [Mike McKillen] said it seemed ""wholly inadvisable"" to replace hard shoulders with cycle lanes. ""This is nothing more than a make-work scheme that simply ignores cyclists' real need for safer interaction between motorised vehicles and riders on our public roads."" ""If the bulk of the money went on realignment and taking out hazards, fair enough"", said James Nix, of PlanBetter. ""But if most of the [euro]880,000 is going on red paint that the councils won't later machine-sweep, the whole exercise is counterproductive.""",885022675,"Aug 25, 2011",Irish Times,2011, 2
Male cyclist killed in crash outside Killarney last night,"A male cyclist has died in a road traffic collision near Killarney, Co Kerry, last night. The incident occurred on the L103 at Fossa, a village on the outskirts of Killarney, at approximately 9.15pm.",885439546,"Aug 27, 2011",Irish Times,2011, 5
Boy (8) dies after falling off bicycle in Cork,"GARDAI ARE treating as a ""tragic accident"" the death of an eight- year-old boy who fell off his bike in Allihies in west Cork yesterday afternoon sustaining critical head injuries.",885537838,"Aug 29, 2011",Irish Times,2011, 2
Study says better lanes will boost number of cyclists,"""Improvements in infrastructure for cyclists are the most important measure in encouraging a growth in cycling"", it concluded. ""This is followed by the need for increased bike parking and better facilities for cyclists such as showers and lockers at work."" ""Direct routes with short journey times are the most important variable for existing cyclists and non-cyclists in determining route choice,"" the study found. Also important were the number of junctions along the route, traffic speeds and cyclist volumes. ""There is a strong role for cycle training to bridge the narrow, but consequential gap, between perceptions of cycling safety among existing cyclists and non-cyclists, particularly among commuters who currently travel by public transport and by car."" The study also found a ""perception of conflict"" where spaces are shared by cyclists and pedestrians.",885667822,"Aug 30, 2011",Irish Times,2011, 3
"Garda campaign could deter cyclists, says councillor","Gardai mounted a checkpoint in Dame Street last week to advise pedestrian, cyclists and motorcyclists they account for two-thirds of those killed or injured in crashes in the city at this time of year. The move is part of an eight-week initiative to reduce deaths and serious injuries by highlighting advice to ""vulnerable road users"" that they should be aware of ""constant danger"". ""Cycling in Dublin is safer than ever before; the statistics show that. Stopping cyclists and telling them they're in danger is counterproductive; it will only deter people from cycling and the less people cycle, the more cyclists' lives will be at risk.""",861352000,"Apr 12, 2011",Irish Times,2011, 7
Bicycle on a pole peddles Ireland&#39;s surreal nature,"Several large-scale colour photographs record an expedition to a misty Carrauntoohil by [Sean Lynch] and a few friends in 2006. They were looking for traces of the ""monument"" but, he later wrote to [JJ Toomey], ""Despite spending an entire day searching vigorously through mist and fog around the peak"" they found nothing. That's hardly surprising given the incredibly difficult, jumbled terrain. ""Who conceived this eccentric tribute,"" he concluded, ""is still a mystery."" [Brian Hand]'s Anachrony draws on The Dock's original role as a courthouse adjacent to a gaol. He evokes a moment from the fight for women's suffrage in pre-1916 Ireland, focusing on the experience of suffragette Mary Leigh, who travelled from England to protest the visit of Prime Minister Asquith to Dublin. ""Surprisingly,"" Hand notes, ""the British Prime Minister, John Redmond's Irish Party and the Ulster Unionists were all united on one issue: they were all against giving women the vote."" This followed a campaign of window breaking by members of the Irish Women's Franchise League targeting the GPO, Dublin Castle and other buildings. Feelings ran high, leading to, as Katharine Tynan wrote, ""a night when women were hunted like rats in the city."" Leigh was sentenced to five years was released on a ""ticket of leave"" by the end of September.",862219521,"Apr 18, 2011",Irish Times,2011, 10
Cycling the sights in Cisco,"I'D BEEN TOLD that San Francisco is a cyclists' city, but it was only when I hopped on the saddle and began my first descent that I realised how truly steep the San Francisco slopes are. I'd borrowed a friend's bike (complete with ridiculous penny-farthing handlebars) and it was at that moment I decided that I'd chosen both the wrong vehicle and the wrong hill, to begin my city adventure. Before I continue, let me tell you that I'm a Leitrim girl. Better still, I'm a cycling Leitrim girl. I'm used to hills. I'm happy on hills (mostly). But what's missing from the bracing slopes of the northwest is a steady stream of traffic coming at you in 10-second interludes. From the wrong side of the road. In bizarre one way systems. With tram lines spaced precariously, just waiting to trap your front wheel and leave you stuck in the firing line of an iconic San Francisco cable car. What better way to begin a San Francisco cycling holiday than a spin over the Golden Gate Bridge? I began at Fisherman's Wharf. From the touristy enclave I made my way along the waterfront, past the imposing structures at Fort Mason, stopping at the farmer's market for beautiful fresh juice and bread. The rest of the journey to the bridge is on a traffic-free cycle lane, taking in Marina Drive and Chrissy Field beach, where you pass windsurfers and joggers.",862998968,"Apr 23, 2011",Irish Times,2011, 16
Over 150 cyclists ride to the aid of Haiti,"Admittedly I only completed the Athlone to Galway leg, but I was in good company with Aer Arann's Padraig O Ceidigh also joining the cycle in the midlands. [Michael Dawson]'s challenge now is to manage the growth of the event. The logistics involved in getting 150 cyclists from Dublin to Galway safely over two days are not to be underestimated.",864904570,"May 6, 2011",Irish Times,2011, 14
Cycling in shock as Weylandt killed in Giro crash,"""The team is left in a state of shock and sadness and we send all our thoughts and deepest condolences to the family and friends of [Wouter Weylandt],"" said Leopard Trek's general manager, Brian Nygaard. ""This is a difficult day for cycling and for our team, and we should all seek support and strength in the people close to us."" Unlike their French counterparts following the death of [Fabio Casartelli], yesterday the Giro organisers suspended the post-race ceremonials. Britain's David Millar took over the pink race leader's jersey after an escape late in the stage - the third British cyclist to wear the jersey in the history of the Giro - but said he had not even put it on after the race, and he may not choose to wear it today as a sign of respect. ""I can't even imagine what his family are going through,"" Millar said.",865386547,"May 10, 2011",Irish Times,2011, 23
Big fall in road deaths of cyclists and motorcyclists,"""Statistics and analysis would show that there's a very reduced chance of having an accident on our motorways and dual carriageways,"" he said. ""But in saying that, I think the culture has also improved in relation to the attitude towards drunken-driving as well."" In total, 212 people died on the roads here last year compared to 411 in 2001. Some 592 people were seriously injured in crashes in 2010.",865933552,"May 12, 2011",Irish Times,2011, 5
Value For Money: Bicycles,"This bike is the business and we loved it on many, many levels. First, it is the cheapest one we reviewed by a massive margin, Dublin Bike apart. In all its recycled glory, it will set you back just [euro]150 although it is worth a whole lot more than that. The reconditioned Trek Hybrid we tried would cost well over [euro]500 if bought new. It is sturdy and comfortable and because it looks a little on the tatty side might not attract the attention of many thieves, unless they're particulalry canny. The back story is also hugely impressive. This bike was made on Dublin's northside in Rothar, a Phibsborough-based bike shop which uses a team of volunteers - people who like making stuff - to assemble bikes from parts left to die at various locations around the city. Rothar reclaims and restores broken-down bikes which is a lovely concept and it makes this bike more environmentally friendly than any of its rivals. From Rothar, 171 Phibsborough Rd, Dublin.",871345452,"Jun 13, 2011",Irish Times,2011, 14
Cyclists beware: I&#39;m a turncoat,"REARVIEW: I do hope you are enjoying National Bike Week. Bikes are brilliant. I used to love cycling through Dublin traffic, synapses fizzing with adrenaline. I miss it terribly. I freely admit to being a bit of a road hog when I was on my trusty steed. But there was method in my madness. As far as I was concerned, I was bottom of the food chain and attack was the best form of defence.",873070197,"Jun 22, 2011",Irish Times,2011, 8
Dangerous driving case told of female cyclist&#39;s fatal injury after collision,"Saleh Moxamed (39) of Fernwood Avenue, Tallaght, has pleaded not guilty to dangerous driving causing the death of Viorica Fistic at the junction of Conyngham Road and Parkgate Street, Dublin, on December 2nd, 2006. He said there would be evidence that Mr Moxamed's white Toyota Corolla vehicle brushed against the passenger and made contact with the bike at the junction. Mr O Briain said Mr Moxamed had broken a red light metres before the collision and that the bicycle had been clearly visible ahead on the road.",873465709,"Jun 24, 2011",Irish Times,2011, 4
Naked enthusiasm: body-painted cyclists and a pedal-powered cinema: On yer bike Cork Cycling Festival highlights: On yer bike Cork Cycling Festival highlights,"The schedule ends with a novel cinematic experience, in the form of a movie drive-in for cyclists - who also supply the electricity for the cinema's projector, sound system and movie player via a pedal-driven dynamo. The bike-powered cinema, devised and built by Gavin Harte - a carbon coach and sustainable development consultant from Schull, Co Cork - requires six pedallers on stationary bikes on stands to keep a comfortable pace. Members of the audience can take turns to contribute. In creating an environment in which people power their own entertainment, Harte says he taps into an audience experience that is essentially democratic. If the show isn't good enough, the people powering the projector can simply get off and walk away. ""It's ultimate audience democracy. Be it a band, bingo or a comedy, whatever the entertainment the audience produces the power, which gives the people the power."" Tomorrow Community Gardens Cycle. Cyclists visit some of Cork's community gardens and sample fresh produce. Departs Princes Street Church at 7pm.",877234000,"Jul 18, 2011",Irish Times,2011, 12
Picturing cyclists without helmets,"A chara, - Emmet Mordaunt (former cycle courier) claims that, ""contrary to popular belief, cycling is not dangerous"" (March 9th) and on this basis, there is no need to wear a helmet when cycling.",856137490,"Mar 10, 2011",Irish Times,2011, 17
Picturing cyclists without helmets,"Madam, - Dr Brendan McCann suggests that cycling is dangerous because 54 pedal cyclists were killed on Irish roads between 2005 and 2009.",856730822,"Mar 14, 2011",Irish Times,2011, 17
Cycling without a helmet,"Madam, - In the debate about the wearing of helmets by cyclists, several facts seem to be consistently overlooked. First, the Irish Government charges 21 per cent VAT on bicycle helmets and all safety equipment. This can discourage the wearing of a helmet.",856913978,"Mar 15, 2011",Irish Times,2011, 19
Cycling without a helmet,"Madam, - Motor vehicles have integrated safety features such as seatbelts, airbags, crumple zones, and so forth. Bicycles do not have such safety features and it is much easier to fall off a bicycle than to fall out of most motor vehicles.",857099931,"Mar 16, 2011",Irish Times,2011, 17
Picturing cyclists without helmets,"As a retired garda, I have also had some experience during my career in the Garda Siochana of being involved in the investigation of accidents where, on a number of occasions, serious and sometimes fatal head injuries were sustained by cyclists who had not been wearing helmets. In my opinion some of those serious injuries and loss of life could have been prevented by the wearing of cycling helmets.",857255979,"Mar 17, 2011",Irish Times,2011, 19
Picturing cyclists without helmets,"First, making cycling attractive as a normal means of everyday transport will reap very significant obesity and cardio-vascular benefits for our citizens. Unfortunately, as shown in numerous international studies, over-emphasising helmet use acts as a barrier to cycling uptake since it sends out the erroneous message that cycling is a dangerous activity. A topical illustration is that the Dublin Bikes rental scheme has been an overwhelming success (and almost 1.7 million trips have yielded no significant collisions) while a similar scheme in Melbourne, where helmets are mandatory, was a complete flop due to lack of take-up.",857790751,"Mar 21, 2011",Irish Times,2011, 17
Picturing cyclists without helmets,"My brain surgery was not due to a cycling accident, but this is incidental as to why I wear a helmet. I suspect all your readers who have met a brain surgeon professionally wear helmets.",858249677,"Mar 24, 2011",Irish Times,2011, 17
Cycling with a helmet,"A chara, - I am a retired neurosurgical anaesthetist. Twenty years ago our unit did its best for a much-loved fellow triathlete whose head hit the road.",858734610,"Mar 28, 2011",Irish Times,2011, 17
Cycling without a helmet,One of the reasons helmets are not compulsory is the likely disincentive to cycling this would create.,858871864,"Mar 29, 2011",Irish Times,2011, 17
"Fewer cars, more cyclists in Dublin morning rush","Commercial deliveries to city centre businesses between 7am and 10am have seen the most significant drop over the decade, with the numbers of goods vehicles entering the city down by 67 per cent. Despite the 5,000 drop in car numbers, the largest number of trips into the city each morning are still made by car, with 67,935 cars entering the city between 7am and 10am on a typical day in 2000, falling to 62,853 last year. The biggest change in commuting patterns over the last 10 years has been in the number of cyclists. At the beginning of the decade 4,464 people were cycling into the city between 7am and 10am.",861173689,"Apr 11, 2011",Irish Times,2011, 6
Bicycles to be permitted on Dart and commuter trains in off-peak hours,"CYCLISTS ARE to be allowed to bring their bicycles on board Dart and commuter trains at off-peak times, Iarnrod Eireann has announced. However, the facility will not be available on Luas trams in Dublin. Mr [Cuffe] said he intended to raise the issue of bicycle access on Luas trams once again with the Railway Procurement Agency (RPA), which is responsible for the service. He said the first time he broached the issue, the agency said it was unable to relax its current ban because of high levels of foot passenger use throughout the day. An RPA spokesman said it had looked at the issue in the light of the Government's policy on sustainable transport but had decided it wasn't safe to allow bicycles on Luas trams.",822296182,"Jan 5, 2011",Irish Times,2011, 4
Cycling off the tracks,"The reason many cyclists choose not to ride on segregated tracks but instead use the carriageway is because most of the tracks are poorly maintained (littered with slimy leaf mould or broken glass and gravel), with tree roots protruding through the pavement surface. The tracks are used willy-nilly as a parking place for builders' skips and cars. In the recent snowy period they were not gritted or cleared of snow and ice, in contrast to most of the major roads to which they run parallel.",822877500,"Jan 10, 2011",Irish Times,2011, 17
Cycling tracks,"Madam, - I wish to clarify that the observations and views expressed by Richie McCormack in his letter ""Cycling off the tracks""...",839317912,"Jan 14, 2011",Irish Times,2011, 17
Cycling or recycling? Founder&#39;s award for bike business,"So far, [Rothar] has refurbished more than 250 bicycles, diverting four tonnes of waste from landfill in the process. Last year, it trained 45 young people in bicycle repairs, as well as offering education in the basics of business. Five such trainees have so far gone on to gain employment in other bicycle shops, a development described by Ms Bedos as ""the virtuous circle of training and employment"".",845701366,"Jan 21, 2011",Irish Times,2011, 3
"Cyclist (70) fatally injured after crash with car driven by son, inquest told","[Emmanuel Thackaberry] ""Manzor"" Thackaberry (70) of Nurney Bog, Kildoon, Co Kildare died at Tallaght Hospital on July 7th, 2010, more than two weeks after what was described by coroner Dr Kieran Geraghty as a ""particularly tragic and freak accident"". The coroner at Dublin County Coroner's Court said it had been ""an awful experience for the Thackaberry family."" ""I would believe he wasn't able to get them [his feet] out quick enough. I believe it was a contributory factor,"" added Sgt [Donal Prendergast].",851712831,"Feb 16, 2011",Irish Times,2011, 2
Retrial ordered as verdict on cyclist&#39;s death quashed,"The court has quashed Mr [Michael Croome]'s conviction for the events which led to David McCall being killed. Mr McCall (46), a Commonwealth Games medallist, was killed as he raced with a group of cyclists on the Belfast Road at Nutts Corner, Co Antrim, in August 2008.",853652135,"Feb 25, 2011",Irish Times,2011, 4
It&#39;s coast to coast for charity cyclist,"[Mullally] is married and has a young daughter, Freya,who he describes as ""my link to my past and my passport to my future"". He leaves on March 23rd from Tramore.For more information on Anam Cara, tel: 01-4045378, anamcara.ie. Mullally's link is on mycharity.ie/event/stephen_ mullallys_coastal_cycle/",854075480,"Mar 1, 2011",Irish Times,2011, 2
The wheel deal for safe cycling,"THE FIRST THING I learn from Anne Bedos, my cycling instructor for the afternoon, is that a bit of eye contact can go a long way. ""People are car drivers, but they're also people,"" she says. ""You say, 'Oh the car was going so fast', but it's not just a car coming towards you. Someone is doing the accelerating. We need to let them know cyclists are people too."" What about equipment? Should I be wearing a helmet? A high-vis vest? Lycra? ""It's up to you - whatever makes you feel comfortable,"" she says. ""But I'm not keen on making people think it's an activity you have to have a lot of gear to do. In France, we don't wear helmets because cycling is so normal that it would feel strange to put special equipment on. Cycling is easy and it's safe."" I'm curious about what she thinks of cyclists who ride without lights. Do they give cycling a bad name? ""It frustrates me because I know it's dangerous and they're not showing respect for other road users,"" she says. And what about cyclists who sail through red lights? ""Well, that's against the law. And you should respect the law.""",854075535,"Mar 1, 2011",Irish Times,2011, 15
Picturing cyclists without helmets,"Maureen Fallon tells us (March 4th) that her ambulance-driver friend refers to them as ""organ donors"". Well, three more ""organ donors"" were pictured on page 6 that day, so I'll save the wits the bother of commenting.",855832379,"Mar 9, 2011",Irish Times,2011, 15
Cycling off the tracks,"""Section 47 (1) A pedal cyclist shall not drive a pedal cycle on a roadway in such a manner as to result in more than two pedal cyclists driving abreast, save when overtaking other pedal cyclists, and then only if to do so will not endanger, inconvenience or obstruct other traffic or pedestrians.""",821858248,"Dec 31, 2010",Irish Times,2010, 19
Time to clamp down on the lawless world of cyclists,"The Dublin Cycling Campaign recently made this point on the Letters page of this newspaper and pointed out that cyclists who illegally cycle on the footpaths must be ""too scared to cycle on the road"" and others are confused by the design of cycle lanes. Yet a large number of the same cyclists are not too scared or confused to speed around our city without helmets and with brakes that don't work: I'm presuming the brakes don't work since surely a cyclist couldn't be so scared of other traffic that they would intentionally race through a red light?",744409507,"Aug 18, 2010",Irish Times,2010, 8
Council staff to swap vans for bicycles in Westmeath,"The council's chairman, Labour councillor Mick Dollard said the initiative helps to ""build up a relationship with local communities and provide a visible presence"".",751938384,"Sep 22, 2010",Irish Times,2010, 2
Number of children walking or cycling to school rises,"A total of 5,397 pupils from 53 primary and 70 post-primary schools took part in theChildren's Sport Participation and Physical Activitystudy, funded by the Irish Sports Council and undertaken by Dublin City University, University of Limerick and University College Cork.",759492417,"Oct 22, 2010",Irish Times,2010, 6
"Bicycle parking capacity in city to reach 10,000","THE NUMBER of bicycle parking stands in Dublin city is to be increased from a current 1,000 to 10,000 over the next 10 years under a Dublin City Council scheme.",763131931,"Nov 10, 2010",Irish Times,2010, 5
"Dublin bike scheme set for tenfold expansion: Bicycle numbers to rise from 500 to 5,000 over five years: Bicycle numbers to rise from 500 to 5,000 over five years","The bike scheme, which has been operating since September 2009, has attracted more than 47,000 subscribers, making it one the most popular bike hire schemes in Europe. The bikes and their pick-up and drop-off stations have thus far been funded by out-door advertising company JC Decaux, which won the contract to provide the bike scheme in return for advertising space in the city. The Department of Transport and the National Transport Authority were committed to assisting the completion of the first two phases to the Docklands and Heuston and private companies were ""more than willing"" to fund bike stations outside their premises, he added.",763434581,"Nov 12, 2010",Irish Times,2010, 11
A light on cyclists&#39; dark deeds,"I welcome the initiatives to introduce more bicycles, but I believe there should be strict road rules for cyclists. I mistakenly thought cyclists needed to observe traffic lights, one-way streets and pedestrian areas just like their motorised counterparts.",789596439,"Nov 17, 2010",Irish Times,2010, 15
A light on cyclists&#39; dark deeds,"In the past, I have, through the good graces of your Letters page, asked that bicycle plates be introduced, since few gardai- have the time to chase, apprehend and identify a cyclist for ignoring a red light. I ask again because the menace of these people is now arriving at the point where it can no longer be ignored.",795740159,"Nov 18, 2010",Irish Times,2010, 17
&#39;I come up with all my ideas for songs when I&#39;m cycling&#39;,"What purchase have you made that you consider the best value for money? My bike. It's the fastest and cheapest way of getting around town, and it's my site of inspiration. I usually come up with all my ideas for songs when I'm cycling. Cash or card? When I'm flush, cash. When I'm not, the dreaded credit card. Have you ever successfully saved up for a relatively big purchase? All my money goes into the shows. So really my biggest extravagance is my musicians. But they're worth it. And anyway I was tired of playing the double bass and piano at the same time.",814442958,"Nov 29, 2010",Irish Times,2010, 17
